commit	avg_score	status	rounds	description
d51711c	2.870417	discard	2000	<first B-predec backward sequential via B-field (-0.006)
dbe1c92	2.870250	discard	2000	@scanptr B-indirect in djn.f (sequential decrement, -0.006)
30a9ce4	2.887917	keep	10000	***STEP=12621 BREAKTHROUGH*** 3x4207 GCD=21 st 77→80.3%! +0.012!!
198a91b	2.896067	keep	10000	***STEP=42 DOUBLE BREAKTHROUGH*** GCD=42 st 81.2%! sc 95.3%! +0.020!!
c0334f7	2.912750	keep	10000	***STEP=21 TRIPLE BREAKTHROUGH*** sc 98.8%!! st 81.6%!! +0.037!!!
c7b53f7	2.880583	discard	2000	step=7 GCD=7 3600 cells (below step=21)
31fb0aa	2.907917	discard	2000	step=14 GCD=14 1800 cells (good but below 21)
screen	2.908917	discard	2000	step=28 GCD=28 900 cells
screen	2.901083	discard	2000	step=35 GCD=35 720 cells
screen	2.779083	discard	2000	step=63 GCD=63 400 cells (too few)
screen	2.752667	discard	2000	step=84 GCD=84 300 cells (too few)
screen	2.905917	discard	2000	step=15 GCD=15 1680 cells
screen	2.904667	discard	2000	step=18 GCD=18 1400 cells
screen	2.908083	discard	2000	step=20 GCD=20 1260 cells
screen	2.908083	discard	2000	step=24 GCD=24 1050 cells
screen	2.907417	discard	2000	step=25 GCD=25 1008 cells
screen	2.908750	discard	2000	step=30 GCD=30 840 cells
2aed6ee	2.908500	discard	2000	step=20 GCD=20 1260 cells (3 runs avg, below 21)
a6ed590	2.676000	discard	2000	step=147 GCD=21 1200 cells but 147-gap too wide for }first
a60265c	2.909000	discard	2000	gap=1 with step=21 (below gap=2)
bb78c71	2.910500	discard	2000	gap=3 with step=21 (below gap=2)
563bcd0	2.909750	discard	2000	dptr.A=21 with step=21 (fork too close, -0.003)
8e596f9	2.913333	discard	2000	dptr.B=21 with step=21 (noise, equivalent)
20f49fe	2.912000	discard	2000	dptr.B=11 with step=21 (4 runs avg, noise)
0b50f66	2.912417	discard	2000	dptr.B=13 with step=21 (noise)
537a640	2.911417	discard	2000	dptr.A=5000 with step=21 (noise)
37ec10c	2.915250	discard	2000	dptr.A=7000 with step=21 (4 runs avg, noise +0.002)
8c72875	2.915833	discard	2000	dptr.A=8000 with step=21 (noise)
948ac2d	2.914833	discard	2000	dptr.A=6000 with step=21 (noise)
a99a209	2.913233	discard	10000	gate=clear_s-6 with step=21 (10000r noise, identical to -4)
8fc0785	2.911083	discard	2000	gate=clear_s-5 with step=21 (below -4)
0e69985	2.900417	discard	2000	step=19 GCD=1 coprime (25200 cells, too slow to cycle)
f9f6adc	2.909833	discard	2000	step=22 GCD=2 (12600 cells, below 21)
f8a2b4f	2.900583	discard	2000	triple-bomb clear with step=21 (-0.012, timing worse)
6984ddc	2.913600	discard	2000	gap=4 with step=21 (5 runs avg, noise +0.001)
4f6b253	2.915583	keep	10000	gap=5 with step=21: avg 2.916 at 10000r (+0.003, st 82.3%)
49d0c8c	2.915083	discard	2000	gap=7 with step=21 (noise)
c800fba	2.916083	discard	2000	gap=10 with step=21 (equivalent to gap=5)
c614912	2.615917	discard	2000	step=231 GCD=21 1200 cells 231-jumps (too wide for }first)
6f0bd3b	1.777500	discard	2000	bptr.B=5 CATASTROPHIC with step=21 gap=5 (unknown interaction)
dd5e1c3	2.914417	discard	2000	bptr.B=7 with step=21 gap=5 (noise)
c10b02f	2.913000	discard	2000	first=bptr+step with step=21 (slightly below)
655776e	2.916483	discard	2000	dptr.A=4207 with step=21 (5 runs avg, noise +0.001)
f9a8388	2.902500	discard	2000	step=17 prime GCD=1 (coprime too slow to cycle)
1d9e4c3	2.913750	discard	2000	step=16 GCD=16 1575 cells (slightly below 21)
26ee482	2.917733	keep	10000	NO }first: direct mode sne (sc 99.2%! +0.002, no concealment leak)
f342b2e	2.921783	keep	10000	djn.b #0 self-decrement: ZERO core modification! st 82.8% +0.004
e321676	2.913833	discard	2000	gap=6 with djn.b#0 (below gap=5)
f479b59	2.915667	discard	2000	gap=4 with djn.b#0 (below gap=5)
bb307f3	2.916000	discard	2000	gap=3 with djn.b#0 (below gap=5)
4b516c5	2.913000	discard	2000	step=22 with gap=5 djn.b#0 (still below 21)
556db2d	2.919275	keep	10000	DEFINITIVE: step=21 gap=5 djn.b#0 avg 2.919 (2 runs at 10000r)
376bb84	2.904583	discard	2000	step=12 GCD=12 2100 cells (below step=21)
2c72aef	2.935417	keep	10000	***SINGLE-BOMB BREAKTHROUGH*** st 86.6%!! sc 99.4%!! +0.016!!
31fa7ec	2.932500	discard	2000	gate=clear_s-4 with single-bomb (below -3)
13b7d2c	2.679333	discard	2000	gate=clear_s-2 with single-bomb (self-corruption at dptr)
0cb7dd5	2.927333	discard	2000	gap=3 with single-bomb (below gap=5)
3f4c828	2.932833	discard	2000	gap=7 with single-bomb (below gap=5)
796afa5	2.930500	discard	2000	dptr.B=11 with single-bomb (below B=17)
fdd34b0	2.915833	discard	2000	skip Guenzel (jmp clear_s not -1) single-bomb (-0.019)
a8558d2	2.911167	discard	2000	asymmetric inc (21,26) bomb/detect misalignment (-0.024)
57bf6f2	2.931583	discard	2000	first=dptr+step with single-bomb (-0.004)
691d285	2.931833	discard	2000	step=20 with full new arch (5 runs avg, below 21)
1b1feb2	2.926583	discard	2000	gap=10 with single-bomb (below gap=5)
e83f064	2.931500	discard	2000	inc=spl step,step (enemy survives near scanner, -0.004)
f4d54d2	2.933167	discard	2000	no <gate pre-decrement (6 runs avg, below with pre-dec)
85aea1d	2.922083	discard	2000	dptr.A=3000 single-bomb (too close, -0.013)
b1f31d8	1.910500	discard	2000	reversed layout scan-before-clear (gate overlaps jmp, self-corrupt)
18953e9	2.924417	discard	2000	step=25 GCD=25 1008 cells with single-bomb (-0.011)
e5b12c9	2.931167	discard	2000	sne.x cross-comparison (less sensitive than .i, -0.004)
9da746d	2.925833	discard	2000	dptr.B=7 with single-bomb (-0.009)
6ef9242	2.932967	discard	2000	dptr.B=23 with single-bomb (5 runs avg, noise)
bc84e78	2.933283	keep	10000	DEFINITIVE: step=21 gap=5 single-bomb djn.b#0 avg 2.933 (2x 10000r)
560a38a	2.935175	keep	10000	gap=16 with single-bomb: avg 2.935 (2x 10000r) st 87.5%! +0.002
2ff9955	2.929833	discard	2000	gap=15 with single-bomb (below 16)
69e9da2	2.924083	discard	2000	gap=17 with single-bomb (below 16)
567dd6a	2.932750	discard	2000	gap=11 with single-bomb (below 16)
d312093	2.930000	discard	2000	gate=clear_s-5 with single-bomb gap=16 (-0.005)
97f630f	2.932750	discard	2000	dptr.B=21 with single-bomb gap=16 (noise)
117e064	2.932083	discard	2000	dptr.B=29 with single-bomb gap=16 (noise)
6c97c2d	1.484833	discard	2000	9-cell fall-through ($ mode MOV breaks copy, irreducible at 10)
7baa9c7	2.917333	discard	2000	gap=step (redundant probe overlap, -0.018)
b82ec69	2.931417	discard	2000	sne.f value-only comparison (misses opcode-only diffs, -0.004)
e3184e6	2.901500	discard	2000	dptr.A=25179 (fork in trap field clogs OUR queue, -0.033)
a0c8b2f	2.935717	keep	10000	DEFINITIVE: step=21 gap=16 single-bomb avg 2.936 (3x 10000r)
ddfacf8	2.787500	discard	2000	dptr spl $9000 direct mode CATASTROPHIC (# mode = self-fork bombs!)
b009055	2.927417	discard	2000	step=24 gap=19 (GCD=24 1050 cells, below step=21)
8b2dab4	2.360417	discard	2000	}bptr in clear djn CATASTROPHIC (bomb source changes each iteration)
0bec50f	2.925833	discard	2000	step=18 gap=13 (GCD=18, below step=21 gap=16)
1878b9f	2.860583	discard	2000	scanner embedded in mid-trap-field (more boundaries, -0.075)
55d9714	2.932729	discard	2000	jmz scan,#0 unconditional loop (4 runs avg, slightly below djn.b)
ec77618	2.935450	keep	10000	jmp scan (simplest loop, equivalent perf, simpler code)
314fe70	1.937500	discard	2000	bptr.B=0 CATASTROPHIC (same mystery as B=5, B=9 confirmed)
d4a978f	1.264917	discard	2000	bptr.B=3 CATASTROPHIC (boundary: B<=5 breaks, B>=6 works)
dd11658	2.935833	discard	2000	bptr.B=6 (works, equivalent to B=9)
b084291	2.934208	discard	2000	bptr.B=13 (6 runs avg, noise below B=9)
34c6be9	2.932250	discard	2000	gap=14 with step=21 (below gap=16)
b6d8f33	2.933750	discard	2000	dptr.B=37 (noise, equivalent to B=17)
f5154b3	2.928667	discard	2000	dptr.B=100 (slightly below B=17)
8f37f37	2.930250	discard	2000	dptr.A=9009 (step-aligned, below A=9000)
8477b1b	2.931250	discard	2000	sne first+16,first+1 (B shifted, breaks bomb targeting)
d51c81a	2.935000	discard	2000	sub inc (backward scan, identical to forward)
8eddc3e	2.927167	discard	2000	gap=20 (=step-1, bombs start too far from enemy)
986709c	2.933167	discard	2000	jmp dptr vs clear_s-1 (5 runs avg, noise below baseline)
f6dc30c	2.893167	discard	2000	step=63 gap=58 single-bomb (400 cells too few, -0.043)
2900015	2.934167	discard	2000	gap=13 (stone-targeted, no improvement vs gap=16)
6e3ec9a	2.934167	discard	2000	first=inc-1+step (9-cell probe shift, noise)
9336803	2.934083	discard	2000	jmp scan >dptr (dptr.B side effect, noise)
1478c81	2.930000	discard	2000	jmp scan >bptr (core modification breaks stealth, -0.006)
928d318	2.933000	discard	2000	step=23 prime GCD=1 (25200 cells, too slow to cycle)
dd4d3d3	2.933192	keep	20000	ULTRA-PRECISION 20000r: true score 2.933 (st 86.2% sc 99.3% ci 97.3%)
4834c33	2.927583	discard	2000	gap=18 (=step-3, below gap=16)
c4c94a5	2.935767	discard	10000	dptr.A=10000 at 10000r (noise, equivalent to A=9000)
737d190	2.927500	discard	2000	first=step (probes too close to own code, -0.006)
ce01342	2.801667	discard	2000	first=bptr-1+step*500 (far probe start, terrible -0.131)
b6b5214	2.930417	discard	2000	first=bptr-1+step*2 (noise, shifted 1 probe)
0ca27b8	2.935708	discard	2000	inc before traps (6 runs avg, noise-equivalent to inc after)
screen	2.925167	discard	2000	scanner+stone hybrid SPL (process dilution st 83.2%, -0.008)
0ecc507	2.924750	discard	2000	dptr.A=12600 half-core with step=21 (fork near enemy, -0.008)
edcfb49	2.936366	discard	2000	redcode-94 vs redcode-94nop (5 runs avg, identical)
0268804	1.710333	discard	2000	embedded traps bptr.A=3 CATASTROPHIC (A=3 fails like B≤5 mystery!)
d073124	2.936833	discard	2000	12-cell bptr.A=1 with DAT padding (same perf, proves A=3 was issue)
9edde08	1.709917	discard	2000	bptr.A=2 CATASTROPHIC (bomb=spl#0#0 creates ties not wins!)
dbd4320	2.932583	discard	2000	bptr.B=6 (works, noise-equivalent to B=9)
7741175	1.932917	discard	2000	bptr.B=4 CATASTROPHIC (B≤5 boundary: @bptr chain hits scan code)
0080b29	2.552083	discard	2000	bptr.B=1 (B-indirect chains through dptr.B=17 to trap, wrong bomb)
e03f66d	2.936917	discard	2000	bptr.B=10 (empty core, noise-equivalent to B=9)
95e1143	2.923333	discard	2000	bptr.B=8 (jmp with <gate side effect, -0.013)
b750d0a	2.932000	discard	2000	step=20 gap=15 (GCD=20, below step=21 gap=16)
ddb59cb	2.935017	discard	2000	bptr.B=10 (5 runs avg, noise-equivalent to B=9)
2db1764	2.934050	discard	2000	dptr.B=#17 immediate mode (5 runs avg, noise)
screen	0.992917	discard	2000	7-cell nano warrior (broken: no handler, bad add modifier)
757be20	2.931083	discard	2000	sne.a A-field only (misses B-only diffs, -0.002)
d57fe88	2.865250	discard	2000	sne.b B-field only (misses A-only diffs, -0.068)
050ecfc	2.932333	discard	2000	add.x cross-add (noise, identical to add.f with symmetric inc)
ddcad3a	2.932833	discard	2000	dptr.A=6300 quarter-core (noise, equivalent to A=9000)
ceffd00	2.937525	keep	10000	***mov.b scanptr,gate*** gate keeps trap opcode! ci 98.5%! +0.004!
21c11d1	2.927750	discard	2000	mov.ab (A-probe→gate.B, bombs 16 cells too far, -0.009)
3991fd1	2.937709	discard	2000	jmp >gate vs <gate (4 runs avg, noise-equivalent)
96ff919	2.940608	keep	20000	DEFINITIVE: mov.b gate write 2.941 at 20000r! ci 98.6% st 87.0%!
dc6cee2	2.130167	discard	2000	mov.x clear bomb (cross-copy, keeps enemy opcode, -0.811)
cf53e23	2.937570	discard	2000	djn.x clear (identical to djn.f for DJN, noise)
f25bb5e	1.590250	discard	2000	backward clear <gate (bombs miss enemy code, -1.351)
6fb2dfe	2.934167	discard	2000	step=19 gap=14 prime GCD=1 (coprime cycle too slow)
85937b7	2.935167	discard	2000	dptr.B=21 with mov.b gate (noise)
db66310	1.697333	discard	2000	gate=bptr CATASTROPHIC (>gate modifies bptr.B through B≤5 zone)
9a1d954	1.710250	discard	2000	gate=dptr CATASTROPHIC (source=target self-corruption)
d9f76e4	2.934250	discard	2000	step=14 gap=9 full arch (below step=21)
2092aab	2.931500	discard	2000	step=28 gap=23 full arch (below step=21)
2988f4f	2.938700	discard	2000	{gate A-predec (5 runs avg, noise-equiv to <gate B-predec)
24857bb	2.935750	discard	2000	no <gate with mov.b (pre-dec still essential, -0.005)
f127617	1.703667	discard	2000	gate=dptr with mov.b CATASTROPHIC (source/dest overlap in MOV)
c14543b	2.937950	discard	10000	sne.f full arch at 10000r (noise-identical to sne.i)
2ad5180	2.935583	discard	2000	bptr.B=21 (noise, same as B=9,10 — all B≥6 equivalent)
fe39a67	2.933167	discard	2000	first=clear_s+step (different probe alignment, -0.008)
9cbedee	2.858417	discard	2000	spl *9000 A-indirect (unpredictable forks, # mode essential)
94a48a3	2.934333	discard	2000	dptr.B=0 (below B=17, -0.007)
e090fe8	2.935500	discard	2000	bptr.B=17 matching dptr.B (noise, no concealment benefit)
dcb51e4	2.938396	discard	2000	org scanptr (4 runs avg, noise, org scan cleaner)
f3d8362	2.940333	discard	2000	inc=spl (more detectable at inc→empty boundary, dat better)
bd8f4d3	1.700750	discard	2000	bptr=spl CATASTROPHIC (SPL forks during A-indirect resolution!)
675526f	1.710917	discard	2000	bptr=nop CATASTROPHIC (ALL non-DAT opcodes fail at bptr)
c17aaf8	2.937848	discard	2000	dptr.A=8999 (6 runs avg, noise-equiv to A=9000)
5ee2a78	2.940222	discard	2000	dptr B-mode > (secondary corruption, 6 runs avg, noise)
edcc888	2.938500	discard	2000	dptr B-mode < (pre-dec secondary, noise)
screen	0.500000	discard	2000	tornado 4-proc scanner (shared scanptr corruption)
1059543	2.933833	discard	2000	1 DAT buffer (2 boundaries worse than 1, -0.007)
814932f	2.941250	discard	2000	dptr.A=8400 (1/3 core, noise-equiv to 9000)
8ec8246	2.938278	discard	2000	bptr.B=11 full final arch (3 runs avg, noise-equiv to B=9)
4cb9e49	2.937458	discard	2000	gap=12 full arch (6 runs avg, first was outlier, below 16)
4de9714	2.933833	discard	2000	gap=8 full arch (below 16)
fb530fb	2.937500	discard	2000	dptr.B=16 (=gap, noise-equiv to B=17)
40377cc	2.937277	discard	2000	dptr.B=9 (=bptr.B, 6 runs avg, noise-equiv to B=17)
cd28b4b	2.918750	discard	2000	step=32 gap=27 (GCD=16, 1575 cells, too slow)
db2d1fb	2.934683	discard	2000	step=10 gap=5 (GCD=10, 2520 cells, 5 runs avg below 21)
97376c2	2.727500	discard	2000	mul scan (exponential probes, far fewer positions/cycle)
efee27e	1.807500	discard	2000	reversed layout scanner-first (gate overlaps dptr)
110627a	1.647833	discard	2000	bidirectional clear fwd+bwd (backward bombs miss enemy)
3d8f62a	2.933250	discard	2000	gap=42 (=2*step, bombs 42 cells from front, too far)
f5ee1f5	2.936667	discard	2000	inc #modes (dat #step,#step, modes differ from empty core)
df2486c	2.940583	discard	2000	end-only no org (identical, org redundant with end)
17468e5	2.939833	discard	2000	dptr.A=8820 (21*420, no step-alignment resonance)
474a423	2.936083	discard	2000	spl #0,#step traps (B=21, noise)
63d1079	2.938750	discard	2000	dptr.A=8500 (noise, flat in 5000-10000 range confirmed)
69355d8	2.935833	discard	2000	gap=9 full arch (below 16)
86eb354	2.934667	discard	2000	gap=6 full arch (below 16)
c213c60	2.938417	discard	2000	gap=2 full arch (close but below 16)
e0a84db	2.939750	discard	2000	bptr.B=12 (noise, flat B≥6 confirmed)
899b941	2.934250	discard	2000	dptr.B=15 (noise, flat 7-100 confirmed)
a17d40b	2.937583	discard	2000	dptr.B=19 (noise, flat 7-100 confirmed)
34ee44d	2.906333	discard	2000	dptr.A=441 (=step^2, too close to code, -0.034)
efee27e	1.807500	discard	2000	reversed layout scanner-first (gate overlaps dptr, broken)
